billing_account_reference,Serial_Number,type
007065436,zh451112418gb,
004393440,CP0508ATMHL,
004393635,CP0505ATS8P,
004393328,CP0505AT342,
004393340,CP0505ATLVP,
004393522,CP0505AT13A,
004393246,CP0505AT7ZR,
004357226,cp0505atf26,
004394017,cp0505ate8h,
004394565,cp0505atse1,
004393049,CP0502BT02U,
006726261,CP0425BTR5T,
004395406,CP0329ATDWQ,
004395380,CP0505ATM0H,
004395467,CP0505ATM03,
004395310,CP0501BTQYL,
004395831,cp0505at7hk,
003637253,ZH451109246GB,
003637253,ZH451109232GB,
007001155,CP0505ATSD7,
004395971,CP0451BT3LK,
004396163,CP0451BT3K5,
004394750,CP0350ATAQ9,
004397241,CP0339ATG9P,
004397078,CP0453ATATA,
004397419,CP0505ATRK8,
004397300,CP0448ATLUH,
004397627,CP0453AT8DM,
004397594,CP0452CT5DE,
004180654,CP0505ATRKS,
004397833,CP0505AT1GR,
004398179,CP0425ATS5A,
004110908,ZH451116644GB,
003786686,CP0505AT31J,
004105679,CP0508ATN6E,
004357226,CP0508GTMU1,
004400270,CP0508GTMVK,
004400865,CP0508CTEH9,
004401215,CP0505ATFUY,
004400953,CP0505AT2DE,
004401275,CP0505ATJLY,
005804429,CP0505BT0BY,
004401655,CP0451BT3JP,
004401532,CP0505AT21V,
004401752,CP0505ATRDR,
004401748,CP0503ATLN5,
004401846,CP0505ATR9B,
004401196,cp0505atfnv,
004401968,cp0503btma1,
004400886,cp0503bt4tn,
004402197,cp0505ata6q,
004402485,CP0505ATQZ9,
004402550,CP0505ATQW7,
004402532,CP0504ATN2A,
004402555,CP0508GTN93,
004402753,CP0505ATQNL,
004403163,CP0451BT3KN,
004402439,CP0505ATJSZ,
004403115,CP0505ATQVC,
004403743,CP0451BTD19,
005034588,CP0451BT92H,
004404512,CP0451BTCYN,
004405313,CP0451BT94W,
004405310,CP0502ATBJ9,
004405363,CP0451BT97F,
004405367,CP0450BTN5H,
004405669,CP0508CT0RE,
004376176,CP0505AT1PW,
004405703,CP0505ATQZ3,
004405863,CP0505AT187,
004405867,CP0451BT1HZ,
004405822,CP0505AT1L0,
004406189,CP0505AT1LQ,
004406165,CP0419BTDV2,
004406026,CP0451BT9R7,
004406043,CP0419BTDWR,
004407182,CP0419BTDUQ,
004406997,CP0505ATJLE,
004407314,CP0508BTFBM,
004407384,CP0505AT250,
004407352,CP0505AT24H,
003418641,CP0508BTF9L,
004407496,CP0505AT1G0,
004407558,CP0502ATB77,
004407758,CP0502ATBA4,
004407937,CP0505ATA38,
004407880,CP0505AT321,
004409047,CP0502BTQ6L,
004765191,CP0502BTPRQ,
004409168,CP0505BT0KY,
004408865,CP0502ATR4B,
004409357,CP0505ATZHA,
004409463,CP0444ATSRZ,
004409682,CP0505ATWSP,
004410074,CP0450BTLE5,
004410500,CP0305LZ5L1,
004155563,CP0449BTTLA,
004410667,CP0505ATKEN,
004410691,CP0408AT2MV,
004411537,CP0505ATPPE,
004411767,CP0505ATGDC,
005688935,CP0505AT4BF,
004411839,CP0505ATGB1,
004412128,CP0505ATG6T,
004412331,CP0505ATGHF,
004398134,CP0505ATPSL,
004162154,CP0505ATPD0,
004413003,CP0503ATMET,
004413053,CP0447BTYL5,
004413887,CP0436ATTV1,
004413451,CP0505ATDTZ,
004413904,CP0508CT2TK,
004414054,CP0453BT09W,
004413966,CP0505AT3WU,
004414254,CP0503ATFR4,
004414374,CP0508CT2DQ,
004414421,CP0508BTSF6,
004414535,CP0508BTSGM,
004414620,CP0505ATBTC,
004414776,CP0508BTSAA,
004415315,CP0505ATG9E,
004415157,CP0505ATG4Q,
004415483,CP0505ATFR8,
004415155,CP0505ATBM1,
004414623,CP0508BTS7T,
004414773,CP0508BTSPJ,
004414952,CP0508BTS59,
004415638,CP0508BTS90,
004394961,0055902B2029BB6,
004415772,CP0505AT2AW,
004415811,CP0505AT4TT,
004416224,CP0505AT1H9,
004415590,5204B1108,
004416176,CP0503ATLYT,
004416197,CP0503ATFUV,
004416777,CP0503ATM0D,
004416788,CP0503ATM5Y,
004679417,CP0502BTT10,
004418111,CP0505AT4YF,
004418090,CP0505ATDYF,
004417919,CP0450BTQDL,
006347067,cp0504atftl,
004418770,CP0508CT2Q3,
004418764,CP0508BTSRQ,
004418730,CP0505ATE2H,
004418450,CP0505AT52J,
003935785,CP0452BTQQ8,
005805188,CP0447BTYWL,
004420033,CP0505ATZD0,
004420116,CP0502ATV9D,
004420412,CP0451BTKBV,
004420613,CP0451CT1NA,
004421016,CP0501ATULZ,
004420997,CP0433AT0BW,
004420357,CP0451BTTHB,
004421293,CP0502ATV7Y,
004422022,CP0502ATFLK,
004422337,CP0502ATV65,
004422123,CP0503ATE9W,
004422509,CP0503ATLPT,
004423016,CP0503ATECS,
004417115,CP0235M3047,
004417485,CP0440ATPVD,
004423166,CP0505BT2P0,
004423302,CP0440ATPLK,
004423579,CP0440ATPH6,
004423582,CP0508CTE37,
004423635,CP0508BTG6N,
004423671,CP0440ATPUR,
004424405,CP0505BT2HP,
007104176,CP0304JZJEW,
003886258,CP0323PZ4C6,
003579723,CP0419BT5RA,
004081543,CP0505BT018,
004425052,CP0419ATYUN,
004423959,CP0317MZEC0,
004425669,CP0508CT331,
004425457,CP0508CTA99,
004423653,CP0440ATP1T,
004426108,CP0508BTRAF,
005388355,CP0235L7582,
004425358,CP0507AT0SM,
003484232,0045902B26579B3,
004426552,P0419BT4NL,
004426620,CP0505BT350,
004426607,CP0505BT01D,
004426828,CP0508BTQLD,
004426721,CP0508GTKE1,
003385713,CP0508BTRFH,
004427089,CP0508BTRA1,
004427113,CP0508GTKA3,
004427088,CP0508BTQLH,
004427394,CP0508BTRBP,
004427443,CP0508BTGDJ,
004427401,CP0508BTFWA,
004352151,CP0508CTB48,
005572798,CP0508BTFWU,
004428042,CP0508BTSGA,
004428057,CP0235M3574,
004429229,CP0448ATNSM,
004429295,CP0508CTA69,
004429479,CP0505BT2W9,
004429408,CP0253PZJ1J,
004429425,CP0451BT2G7,
004429664,CP0508CTJTU,
004429915,CP0505ATY5H,
004242856,CP0445ATA9W,
004430019,CP0238M0538,
004430026,CP0508CTANT,
004430327,CP0445AT8ZP,
004430331,CP0505BT2QQ,
004430905,CP0505BT30E,
004427873,CP0419ATH2S,
004427896,CP0419BT689,
004431407,CP0508CTB26,
004431486,CP0508CTASU,
004431869,CP0440ATPG7,
004432251,CP0419ATGZY,
004432252,CP0419ATGK7,
004431239,CP0507AT100,
004431671,CP0505ATSEM,
004417919,CP0505BT2KT,
004431770,CP0419BT674,
004430606,CP0505BT2UB,
004431019,CP0508CTJ2T,
004432800,cp0253pzha6,
004433008,CP0505BT2HU,
004432778,CP0508CTADT,
004433071,CP0508CTAYH,
004433294,cp0505bt30s,
004430881,CP0505BT2N3,
004431002,CP0505BT2QW,
004431180,CP0316KZZLC,
004433757,cp0504atgpz,
004433435,cp0505at48u,
004433474,cp0235l9910,
004433185,cp0507at0mw,
004433475,cp0502atz3m,
004413003,cp0505at4bb,
005867960,cp0505at488,
004434115,cp0411atdae,
004434240,cp0415ct64s,
004434575,cp0425ctgts,
004142192,cp0425ct9sq,
003565092,cp0425ctknq,
